map_id,position_timestamp,tag_x,tag_y,cov_xx,cov_xy,cov_yx,cov_yy,true_map_id,682c66de8cde618ce1270230_total_anchors,682c66de8cde618ce1270230_anchors_used,682c66de8cde618ce1270230_anchors_hearing,682c66de8cde618ce1270230_avg_rssi,682c66de8cde618ce1270230_max_rssi,682c66de8cde618ce1270230_min_rssi,682c66de8cde618ce1270230_rssi_std,682c66de8cde618ce1270230_rssi_range,682c66f08cde618ce127025e_total_anchors,682c66f08cde618ce127025e_anchors_used,682c66f08cde618ce127025e_anchors_hearing,682c66f08cde618ce127025e_avg_rssi,682c66f08cde618ce127025e_max_rssi,682c66f08cde618ce127025e_min_rssi,682c66f08cde618ce127025e_rssi_std,682c66f08cde618ce127025e_rssi_range
682c66f08cde618ce127025e,1753354663862,52.34,34.4,0.6078706625292888,0.16355583243187113,0.16355583243187113,0.12772739702572225,682c66f08cde618ce127025e,6,5,6,-101.385,-89.47,-105.97,6.385316750169877,16.5,5,0,5,-95.69800000000001,-92.26,-98.9,2.9010894505340583,6.640000000000001
682c66de8cde618ce1270230,1753354664190,50.29,32.41,0.3861487198094078,-0.5033432691205969,-0.5033432691205969,1.2018153191699699,682c66f08cde618ce127025e,6,3,6,-100.79833333333333,-87.52,-105.44,6.950065946929329,17.92,5,0,5,-95.734,-92.65,-98.93,2.8565503671386594,6.280000000000001
682c66de8cde618ce1270230,1753354665955,50.34,32.4,0.4987600845289771,-0.5232255782024331,-0.5232255782024331,0.8852524359212293,682c66f08cde618ce127025e,6,3,6,-100.87833333333333,-86.95,-106.68,7.329366730261672,19.730000000000004,5,0,5,-95.944,-92.85,-98.95,2.879145706628967,6.1000000000000085
682c66f08cde618ce127025e,1753354666440,50.28,35.2,0.7143411371732339,-0.2349889687879451,-0.2349889687879451,0.17089845988288596,682c66f08cde618ce127025e,5,4,5,-101.146,-91.77,-105.34,5.647989022652225,13.570000000000007,5,0,5,-96.33,-92.41,-100.08,3.2235306730353916,7.670000000000002
682c66f08cde618ce127025e,1753354667399,50.26,35.21,0.7017097127088344,-0.2400100277228519,-0.2400100277228519,0.17708682934783637,682c66f08cde618ce127025e,6,4,6,-100.68666666666667,-87.01,-105.47,6.999441882512251,18.459999999999994,5,0,5,-98.928,-92.61,-110.24,6.825047252583675,17.629999999999995
682c66f08cde618ce127025e,1753354668047,50.28,35.2,0.4732585583715362,0.08402284428688617,0.08402284428688617,0.08789571613003974,682c66f08cde618ce127025e,7,6,7,-102.38142857142857,-87.95,-111.69,7.319504602023801,23.739999999999995,5,0,5,-100.482,-92.67,-111.69,6.9134557205495994,19.019999999999996
682c66f08cde618ce127025e,1753354668868,50.29,35.19,0.4727842433747732,0.08367601585066717,0.08367601585066717,0.08783576292192413,682c66f08cde618ce127025e,7,6,7,-102.38142857142857,-87.95,-111.69,7.319504602023801,23.739999999999995,5,0,5,-100.482,-92.67,-111.69,6.9134557205495994,19.019999999999996
682c66f08cde618ce127025e,1753354669570,50.31,35.18,0.6180467005804597,0.15565249087433192,0.15565249087433192,0.11921774691529642,682c66f08cde618ce127025e,6,5,6,-100.735,-87.68,-105.74,6.715649633505305,18.059999999999988,5,0,5,-96.124,-92.29,-99.91,3.2298808027541797,7.61999999999999
682c66f08cde618ce127025e,1753354670147,50.32,35.18,0.6164668958315035,0.18246093976270578,0.18246093976270578,0.1407391706297075,682c66f08cde618ce127025e,6,5,6,-101.505,-90.62,-106.31,5.902642628518177,15.689999999999998,5,0,5,-96.248,-92.85,-99.36,2.8849904679218623,6.510000000000005
682c66f08cde618ce127025e,1753354672220,50.32,35.21,0.9949860480891205,-0.5126728942897942,-0.5126728942897942,0.42142183791045346,682c66f08cde618ce127025e,5,3,5,-101.774,-89.33,-109.09,7.555185636369237,19.760000000000005,3,0,3,-97.79666666666667,-93.78,-100.86,3.6350011462630003,7.079999999999998
