map_id,position_timestamp,tag_x,tag_y,cov_xx,cov_xy,cov_yx,cov_yy,true_map_id,682c66de8cde618ce1270230_total_anchors,682c66de8cde618ce1270230_anchors_used,682c66de8cde618ce1270230_anchors_hearing,682c66de8cde618ce1270230_avg_rssi,682c66de8cde618ce1270230_max_rssi,682c66de8cde618ce1270230_min_rssi,682c66de8cde618ce1270230_rssi_std,682c66de8cde618ce1270230_rssi_range,682c66f08cde618ce127025e_total_anchors,682c66f08cde618ce127025e_anchors_used,682c66f08cde618ce127025e_anchors_hearing,682c66f08cde618ce127025e_avg_rssi,682c66f08cde618ce127025e_max_rssi,682c66f08cde618ce127025e_min_rssi,682c66f08cde618ce127025e_rssi_std,682c66f08cde618ce127025e_rssi_range
682c66f08cde618ce127025e,1753354684838,18.29,43.61,0.32858192766993993,-0.030170059948787614,-0.030170059948787614,0.4551097473148542,682c66f08cde618ce127025e,7,0,7,-104.66571428571429,-86.61,-117.67,10.654483965515581,31.060000000000002,6,3,6,-94.29333333333334,-88.39,-100.58,4.581932634453136,12.189999999999998
682c66f08cde618ce127025e,1753354685709,18.33,43.63,0.6797920834674943,0.03443823787549048,0.03443823787549048,0.15935065104617704,682c66f08cde618ce127025e,8,0,8,-104.7425,-86.61,-117.67,9.866526020554842,31.060000000000002,6,3,6,-94.29333333333334,-88.39,-100.58,4.581932634453136,12.189999999999998
682c66f08cde618ce127025e,1753354686558,18.33,43.64,0.3288965502163391,-0.028355237453016185,-0.028355237453016185,0.45308306575559615,682c66f08cde618ce127025e,7,0,7,-104.54285714285714,-86.49,-117.62,10.339174232477362,31.13000000000001,6,3,6,-95.02,-87.34,-103.31,6.464506168300871,15.969999999999999
682c66f08cde618ce127025e,1753354687164,18.3,43.63,1.4780295018595777,-1.036509493624895,-1.036509493624895,1.0399677901899718,682c66f08cde618ce127025e,7,3,7,-105.14285714285714,-86.83,-118.27,10.407264633075163,31.439999999999998,6,0,6,-94.13333333333333,-88.02,-100.2,4.611818151951212,12.180000000000007
682c66f08cde618ce127025e,1753354687346,18.29,43.61,0.678286643370387,-0.20605773868644842,-0.20605773868644842,0.2245012720846202,682c66f08cde618ce127025e,7,4,7,-105.14285714285714,-86.83,-118.27,10.407264633075163,31.439999999999998,6,0,6,-94.13333333333333,-88.02,-100.2,4.611818151951212,12.180000000000007
682c66f08cde618ce127025e,1753354687466,18.28,43.6,0.678286643370387,-0.20605773868644842,-0.20605773868644842,0.2245012720846202,682c66f08cde618ce127025e,7,4,7,-105.14285714285714,-86.83,-118.27,10.407264633075163,31.439999999999998,6,0,6,-94.13333333333333,-88.02,-100.2,4.611818151951212,12.180000000000007
682c66f08cde618ce127025e,1753354687700,18.26,43.58,0.44310265806138033,-0.07800695354674417,-0.07800695354674417,0.23265589953049753,682c66f08cde618ce127025e,6,4,6,-103.63,-87.0,-116.75,10.941692739242864,29.75,5,0,5,-92.692,-87.97,-96.57,3.97019143115291,8.599999999999994
682c66f08cde618ce127025e,1753354688040,18.26,43.6,0.8772265304939815,-0.18339211142681722,-0.18339211142681722,0.21423496833474326,682c66f08cde618ce127025e,8,0,8,-103.13250000000001,-86.61,-111.81,8.344931310168382,25.200000000000003,6,3,6,-93.81,-87.46,-100.07,4.772211227512879,12.61
682c66f08cde618ce127025e,1753354688499,18.26,43.61,0.87718546704457,-0.18360833236428303,-0.18360833236428303,0.21441022486088784,682c66f08cde618ce127025e,8,0,8,-103.13250000000001,-86.61,-111.81,8.344931310168382,25.200000000000003,6,3,6,-93.81,-87.46,-100.07,4.772211227512879,12.61
682c66f08cde618ce127025e,1753354689226,18.27,43.62,0.7214669527264631,-0.02559264093319468,-0.02559264093319468,0.16118885502356062,682c66f08cde618ce127025e,9,0,9,-104.87,-87.08,-115.61,8.646278101009708,28.53,6,3,6,-94.28166666666667,-88.34,-100.9,4.765238364097505,12.560000000000002
682c66f08cde618ce127025e,1753354689467,18.28,43.63,0.7595651737806008,-0.06752736694457849,-0.06752736694457849,0.1692606520764054,682c66f08cde618ce127025e,8,0,8,-103.97,-86.41,-116.54,9.415855928015407,30.13000000000001,6,3,6,-93.94833333333332,-87.61,-100.33,4.761073058320641,12.719999999999999
682c66f08cde618ce127025e,1753354689893,18.3,43.63,1.3580503002170936,0.3848413950762744,0.3848413950762744,0.5219640827195448,682c66f08cde618ce127025e,8,3,8,-104.22,-86.53,-112.35,8.773956592422502,25.819999999999993,6,0,6,-94.36666666666667,-88.54,-100.38,4.6085905292905585,11.83999999999999
682c66f08cde618ce127025e,1753354691330,18.29,43.61,0.3035474512519538,0.08250843693075258,0.08250843693075258,0.13322293094009333,682c66f08cde618ce127025e,7,5,7,-104.5657142857143,-86.51,-117.64,10.366061381808837,31.129999999999995,6,0,6,-94.155,-87.63,-101.17,4.99673393328082,13.540000000000006
682c66f08cde618ce127025e,1753354693277,18.27,43.61,0.39624856532452646,-0.4033372293798745,-0.4033372293798745,0.8291980655668116,682c66f08cde618ce127025e,8,3,8,-105.315,-86.23,-115.36,9.611447044317224,29.129999999999995,6,0,6,-94.43666666666667,-87.9,-100.53,4.991836001579647,12.629999999999995
