map_id,position_timestamp,tag_x,tag_y,cov_xx,cov_xy,cov_yx,cov_yy,true_map_id,682c66de8cde618ce1270230_total_anchors,682c66de8cde618ce1270230_anchors_used,682c66de8cde618ce1270230_anchors_hearing,682c66de8cde618ce1270230_avg_rssi,682c66de8cde618ce1270230_max_rssi,682c66de8cde618ce1270230_min_rssi,682c66de8cde618ce1270230_rssi_std,682c66de8cde618ce1270230_rssi_range,682c66f08cde618ce127025e_total_anchors,682c66f08cde618ce127025e_anchors_used,682c66f08cde618ce127025e_anchors_hearing,682c66f08cde618ce127025e_avg_rssi,682c66f08cde618ce127025e_max_rssi,682c66f08cde618ce127025e_min_rssi,682c66f08cde618ce127025e_rssi_std,682c66f08cde618ce127025e_rssi_range
682c66f08cde618ce127025e,1753354694494,46.42,37.03,0.17421257203543586,-0.22165285486861674,-0.22165285486861674,1.1422590994414268,682c66de8cde618ce1270230,10,0,10,-106.557,-92.17,-117.96,6.803023919143929,25.789999999999992,4,3,4,-108.54,-100.43,-116.15,6.448808675510023,15.719999999999999
682c66f08cde618ce127025e,1753354694911,46.43,37.01,0.18063305750128233,-0.24472796135214275,-0.24472796135214275,1.2162487769908792,682c66de8cde618ce1270230,10,0,10,-106.557,-92.17,-117.96,6.803023919143929,25.789999999999992,4,3,4,-108.54,-100.43,-116.15,6.448808675510023,15.719999999999999
682c66f08cde618ce127025e,1753354695092,46.43,36.99,0.18961807168632816,-0.27952646610902315,-0.27952646610902315,1.3322894610385252,682c66de8cde618ce1270230,9,0,9,-106.1588888888889,-91.47,-112.43,6.609832532758385,20.960000000000008,4,3,4,-108.6075,-99.98,-117.43,7.204662263654927,17.450000000000003
682c66f08cde618ce127025e,1753354695451,46.43,36.98,0.1815862523914877,-0.2523731387304882,-0.2523731387304882,1.248310815549592,682c66de8cde618ce1270230,9,0,9,-107.0988888888889,-93.09,-112.7,6.4699950626805816,19.61,4,3,4,-108.9,-100.84,-115.55,6.067987035802453,14.709999999999994
682c66f08cde618ce127025e,1753354696022,46.42,36.98,0.17936681003317154,-0.24726417321086733,-0.24726417321086733,1.2369624684587832,682c66de8cde618ce1270230,9,0,9,-107.0988888888889,-93.09,-112.7,6.4699950626805816,19.61,4,3,4,-108.9,-100.84,-115.55,6.067987035802453,14.709999999999994
682c66f08cde618ce127025e,1753354696944,46.4,36.98,0.175802295668496,-0.23196366959466655,-0.23196366959466655,1.1828427679841964,682c66de8cde618ce1270230,10,0,10,-108.003,-93.23,-117.53,6.82632168724693,24.299999999999997,4,3,4,-108.795,-101.56,-115.18,5.582553179325748,13.620000000000005
682c66f08cde618ce127025e,1753354697815,46.38,36.98,0.17688424515060336,-0.23541369298696224,-0.23541369298696224,1.1933809734640102,682c66de8cde618ce1270230,9,0,9,-106.74111111111111,-93.42,-113.45,6.202899411655093,20.03,4,3,4,-108.965,-101.63,-117.13,6.406941548039907,15.5
682c66f08cde618ce127025e,1753354698189,46.39,36.97,0.24848984610918082,-0.00011514303178720861,-0.00011514303178720861,0.08086675585039364,682c66de8cde618ce1270230,9,7,9,-105.00888888888889,-92.57,-111.23,6.036181418008502,18.66000000000001,4,0,4,-105.755,-100.41,-111.23,4.826382358109092,10.820000000000007
682c66f08cde618ce127025e,1753354698371,46.41,36.98,0.24848984610918082,-0.00011514303178720861,-0.00011514303178720861,0.08086675585039364,682c66de8cde618ce1270230,9,7,9,-105.00888888888889,-92.57,-111.23,6.036181418008502,18.66000000000001,4,0,4,-105.755,-100.41,-111.23,4.826382358109092,10.820000000000007
682c66f08cde618ce127025e,1753354698566,46.42,36.98,0.2589952625594372,-0.00420668043283875,-0.00420668043283875,0.07888233243760244,682c66de8cde618ce1270230,9,7,9,-105.00888888888889,-92.57,-111.23,6.036181418008502,18.66000000000001,4,0,4,-105.755,-100.41,-111.23,4.826382358109092,10.820000000000007
682c66f08cde618ce127025e,1753354698677,46.43,36.97,0.17820038334068702,-0.23569452908066296,-0.23569452908066296,1.186974423716087,682c66de8cde618ce1270230,8,0,8,-105.625,-94.1,-110.23,5.556178028619522,16.13000000000001,4,3,4,-108.92,-100.88,-116.13,6.2458359461858,15.25
682c66f08cde618ce127025e,1753354698764,46.46,36.98,0.3181504286795916,0.13954515343970697,0.13954515343970697,0.2899939287722171,682c66de8cde618ce1270230,8,0,8,-103.56125,-94.02,-112.75,6.484833817674681,18.730000000000004,4,4,4,-105.45,-96.32,-116.21,9.194400469851201,19.89
682c66f08cde618ce127025e,1753354698862,46.47,37.0,0.3181504286795916,0.13954515343970697,0.13954515343970697,0.2899939287722171,682c66de8cde618ce1270230,8,0,8,-103.56125,-94.02,-112.75,6.484833817674681,18.730000000000004,4,4,4,-105.45,-96.32,-116.21,9.194400469851201,19.89
682c66f08cde618ce127025e,1753354699454,46.48,37.0,0.31757934323357934,0.14058454571210588,0.14058454571210588,0.29197303260185536,682c66de8cde618ce1270230,8,0,8,-103.56125,-94.02,-112.75,6.484833817674681,18.730000000000004,4,4,4,-105.45,-96.32,-116.21,9.194400469851201,19.89
